"idVin","nomVin","paysVin","regionVin","nomDomaine","appellation","millesime","cepages","couleurVin","typeVin","clBout","degustation","recompenses","accordMetsVin","mainPhotoVin","codeRegion","codeDomaine","codeAppellation","ListeB1","ListeB2","","","","",""
"211","Rully premier cru Mont Palais","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2014","","VB","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"212","Rully premier cru Cloux","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2015","","VB","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"213","Rully premier cru Rabource","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2015","","VB","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"214","Rully premier cru Préaux","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2014","","VR","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"215","Rully premier cru Mont Palais","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2015","","VB","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"216","Rully premier cru Préaux","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2015","","VR","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"217","Rully premier cru Mont Palais","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2016","","VB","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"218","Rully","France","Bourgogne","Domaine Jaeger Defaix","#NUM!","2017","","VR","VT","75","","","","","Bour","Defaix","Rully","","","","","","",""
"219","Rully premier cru Préaux","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2017","","VR","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"220","Rully premier cru Mont Palais","France","Bourgogne","Domaine Jaeger Defaix","Rully premier cru ","2017","","VB","VT","75","","","","","Bour","Defaix","Rully 1er","","","","","","",""
"231","Mercurey 1er cru Les Combins","France","Bourgogne","Domaine Theulot Juillot","Mercurey","2015","","VR","VT","75","","","","","Bour","Theulot","Mercurey","","","","","","",""
"232","Cremant de Bourgogne","France","Bourgogne","Domaine Theulot Juillot","Cremant de Bourgogne","2014","","VB","VM","75","","","","","Bour","Theulot","CremantB","","","","","","",""
"233","Mercurey 1er cru Les Combins","France","Bourgogne","Domaine Theulot Juillot","Mercurey","2016","","VR","VT","75","","","","","Bour","Theulot","Mercurey","","","","","","",""
"251","Bourgogne Aligoté","France","Bourgogne","Domaine Perraud","Bourgogne","2015","","VB","VT","75","","","","","Bour","Perraud","Bourg","","","","","","",""
"252","Macon Villages ""Le Loup""","France","Bourgogne","Domaine Perraud","Macon","2015","","VB","VT","75","","","","","Bour","Perraud","Macon","","","","","","",""
"253","Macon La Roche Vineuse","France","Bourgogne","Domaine Perraud","Macon","2014","","VB","VT","75","","","","","Bour","Perraud","Macon","","","","","","",""
"254","Bourgogne Rouge","France","Bourgogne","Domaine Perraud","Bourgogne","2016","","VR","VT","75","","","","","Bour","Perraud","Bourg","","","","","","",""
"255","Bourgogne Rouge ""Les Forêts""","France","Bourgogne","Domaine Perraud","Bourgogne","2015","","VR","VT","75","","","","","Bour","Perraud","Bourg","","","","","","",""
"256","Crémant de Bourgogne","France","Bourgogne","Domaine Perraud","Cremant de Bourgogne","","","VB","VM","75","","","","","Bour","Perraud","CremantB","","","","","","",""
"257","Bourgogne Aligoté","France","Bourgogne","Domaine Perraud","Bourgogne","2016","","VB","VT","75","","","","","Bour","Perraud","Bourg","","","","","","",""
"258","Bourgogne Aligoté","France","Bourgogne","Domaine Perraud","Bourgogne","2017","","VB","VT","75","","","","","Bour","Perraud","Bourg","","","","","","",""
